ActualRental,PredictedRental
2294,2294
1951,1951
2236,2236
2368,2368
3272,3272
4098,4098
4521,4521
3425,3425
2376,2376
3598,3598
2177,2177
4097,4097
3214,3214
2493,2493
2311,2311
2298,2298
2935,2935
3376,3376
3292,3292
3163,3163
1301,1301
1977,1977
2432,2432
4339,4339
4270,4270
4075,4075
3456,3456
4023,4023
3243,3243
3624,3624
4509,4509
4579,4579
3761,3761
4151,4151
2832,2832
2947,2947
3784,3784
4375,4375
2802,2802
3830,3830
3831,3831
2169,2169
1529,1529
3422,3422
3922,3922
4169,4169
3005,3005
4154,4154
4318,4318
2689,2689
3129,3129
3777,3777
4773,4773
5062,5062
3487,3487
2732,2732
3389,3389
4322,4322
4363,4363
1834,1834
4990,4990
3194,3194
4066,4066
3423,3423
3333,3333
3956,3956
4916,4916
5382,5382
4569,4569
4118,4118
4911,4911
5298,5298
5847,5847
6312,6312
6192,6192
4378,4378
7836,7836
5892,5892
6153,6153
6093,6093
6230,6230
6871,6871
8362,8362
3372,3372
4996,4996
5558,5558
5102,5102
5698,5698
6133,6133
5459,5459
6235,6235
6041,6041
5936,5936
6772,6772
6436,6436
6457,6457
6460,6460
6857,6857
5169,5169
5585,5585
5918,5918
4862,4862
5409,5409
6398,6398
7460,7460
7132,7132
6370,6370
6691,6691
4367,4367
6565,6565
7290,7290
6624,6624
1027,1027
3214,3214
5633,5633
6196,6196
5026,5026
6233,6233
4220,4220
6304,6304
5572,5572
5740,5740
6169,6169
6421,6421
6296,6296
6883,6883
6359,6359
6273,6273
5728,5728
4717,4717
6572,6572
7030,7030
7429,7429
6118,6118
2843,2843
5115,5115
7424,7424
7384,7384
7639,7639
8294,8294
7129,7129
4359,4359
6073,6073
5260,5260
6770,6770
6734,6734
6536,6536
6591,6591
6043,6043
5743,5743
6855,6855
7338,7338
4127,4127
8120,8120
7641,7641
6998,6998
7001,7001
7055,7055
7494,7494
7736,7736
7498,7498
6598,6598
6664,6664
4972,4972
7421,7421
7363,7363
7665,7665
7702,7702
6978,6978
5099,5099
6825,6825
6211,6211
5905,5905
5823,5823
7458,7458
6891,6891
6779,6779
7442,7442
7335,7335
6879,6879
5463,5463
5687,5687
5531,5531
6227,6227
6660,6660
7403,7403
6241,6241
6207,6207
4840,4840
4672,4672
6569,6569
6290,6290
7264,7264
7446,7446
7499,7499
6969,6969
6031,6031
6830,6830
6786,6786
5713,5713
6591,6591
5870,5870
4459,4459
7410,7410
6966,6966
7592,7592
8173,8173
6861,6861
6904,6904
6685,6685
6597,6597
7105,7105
7216,7216
7580,7580
7261,7261
7175,7175
6824,6824
5464,5464
7013,7013
7273,7273
7534,7534
7286,7286
5786,5786
6299,6299
6544,6544
6883,6883
6784,6784
7347,7347
7605,7605
7148,7148
7865,7865
4549,4549
6530,6530
7006,7006
7375,7375
7765,7765
7582,7582
6053,6053
5255,5255
6917,6917
7040,7040
7697,7697
7713,7713
7350,7350
6140,6140
5810,5810
6034,6034
6864,6864
7112,7112
6203,6203
7504,7504
5976,5976
8227,8227
7525,7525
7767,7767
7870,7870
7804,7804
8009,8009
8714,8714
7333,7333
6869,6869
4073,4073
7591,7591
7720,7720
8167,8167
8395,8395
7907,7907
7436,7436
7538,7538
7733,7733
7393,7393
7415,7415
8555,8555
6889,6889
6778,6778
4639,4639
7572,7572
7328,7328
8156,8156
7965,7965
3510,3510
5478,5478
6392,6392
7691,7691
7570,7570
7282,7282
7109,7109
6639,6639
5875,5875
7534,7534
7461,7461
7509,7509
5424,5424
8090,8090
6824,6824
7058,7058
7466,7466
7693,7693
7359,7359
7444,7444
7852,7852
4459,4459
22,22
1096,1096
5566,5566
5986,5986
5847,5847
5138,5138
5107,5107
5259,5259
5686,5686
5035,5035
5315,5315
5992,5992
6536,6536
6852,6852
6269,6269
4094,4094
5495,5495
5445,5445
5698,5698
5629,5629
4669,4669
5499,5499
5634,5634
5146,5146
2425,2425
3910,3910
2277,2277
2424,2424
5087,5087
3959,3959
5260,5260
5323,5323
5668,5668
5191,5191
4649,4649
6234,6234
6606,6606
5729,5729
5375,5375
5008,5008
5582,5582
3228,3228
5170,5170
5501,5501
5319,5319
5532,5532
5611,5611
5047,5047
3786,3786
4585,4585
5557,5557
5267,5267
4128,4128
3623,3623
1749,1749
1787,1787
920,920
1013,1013
441,441
2114,2114
3095,3095
1341,1341
1796,1796
2729,2729
