Month,TotalSales,PredictedLabel,Score,PValue
"01-Jan","163","0","163","0.5"
"02-Jan","182","0","182","1E-08"
"03-Jan","185","0","185","0.19318304053805901"
"04-Jan","149","0","149","0.025263759425361743"
"05-Jan","156","0","156","0.2654719106908624"
"06-Jan","150","0","150","0.2127510237001431"
"07-Jan","130","0","130","0.03739004476133667"
"08-Jan","180","0","180","0.21542518846246328"
"09-Jan","334","1","334","1E-08"
"10-Jan","111","1","111","0.17478043350575434"
"11-Jan","105","1","105","0.1967783418776421"
"12-Jan","200","1","200","0.30468822502488246"
"13-Jan","163","1","163","0.4791116037046452"
"14-Jan","162","1","162","0.49318068558012074"
"15-Jan","181","1","181","0.4074011011776882"
"16-Jan","114","1","114","0.257765939555025"
"17-Jan","151","1","151","0.43836146913530105"
"18-Jan","163","1","163","0.48568183647229207"
"19-Jan","129","1","129","0.32256987173082174"
"20-Jan","136","1","136","0.3495696004091293"
"21-Jan","194","1","194","0.1409434309144218"
"22-Jan","107","1","107","0.08185730473159825"
"23-Jan","123","1","123","0.26846332661401084"
"24-Jan","151","1","151","0.4212116910029864"
"25-Jan","172","1","172","0.19430508362071786"
"26-Jan","115","1","115","0.187583036210332"
"27-Jan","117","1","117","0.2589583258937087"
"28-Jan","107","1","107","0.21525404650375002"
"29-Jan","186","1","186","0.12390590214086894"
"30-Jan","156","1","156","0.3712116944474858"
"31-Jan","127","1","127","0.42272584157318316"
"01-Feb","142","1","142","0.4551332320795991"
"02-Feb","111","1","111","0.2107019423383425"
"03-Feb","175","1","175","0.17196019351604624"
"04-Feb","194","1","194","0.08403694667320727"
"05-Feb","184","1","184","0.2088733876980634"
"06-Feb","197","1","197","0.17349074031771283"
"07-Feb","139","1","139","0.2788243356287413"
"08-Feb","137","1","137","0.3113103276052531"
"09-Feb","179","1","179","0.30674259830131456"
"10-Feb","118","1","118","0.14866254262080592"
"11-Feb","189","1","189","0.2693687154302732"
"12-Feb","124","1","124","0.1420588246865917"
"13-Feb","542","1","542","1E-08"
"14-Feb","180","1","180","0.49553043924831297"
"15-Feb","119","1","119","0.33792606386185076"
"16-Feb","179","1","179","0.47143854377223754"
"17-Feb","158","1","158","0.4579464065113944"
"18-Feb","188","1","188","0.46688626716665316"
"19-Feb","13","1","13","0.11566832508619007"
"20-Feb","195","1","195","0.43738539513377145"
"21-Feb","134","1","134","0.414183626520935"
"22-Feb","193","1","193","0.4466464604312276"
"23-Feb","189","1","189","0.33041599766799956"
"24-Feb","181","1","181","0.38323683019979815"
"25-Feb","112","1","112","0.22456657485115472"
"26-Feb","146","1","146","0.4251202912087344"
"27-Feb","131","1","131","0.3600728699068527"
"28-Feb","182","1","182","0.3264969623188628"
"01-Mar","186","1","186","0.31133980756360247"
"02-Mar","172","1","172","0.4229957648567924"
"03-Mar","117","1","117","0.11932140662266377"
"04-Mar","171","1","171","0.3952423543063931"
"05-Mar","134","1","134","0.29811495788105746"
"06-Mar","125","1","125","0.2676061544436824"
"07-Mar","134","1","134","0.3259715572867916"
"08-Mar","140","1","140","0.407155683613156"
"09-Mar","253","1","253","0.0007433424303127656"
"10-Mar","131","1","131","0.3272116396822671"
"11-Mar","115","1","115","0.2526265176959783"
"12-Mar","103","1","103","0.21807741971939865"
"13-Mar","198","1","198","0.1675793224242883"
"14-Mar","131","1","131","0.42939762406632953"
"15-Mar","161","1","161","0.3700640990655144"
"16-Mar","102","1","102","0.21337265853062837"
"17-Mar","172","1","172","0.3277052023132632"
"18-Mar","101","1","101","0.22989069915879323"
"19-Mar","117","1","117","0.3740340812450501"
"20-Mar","169","1","169","0.22829773595236663"
"21-Mar","146","1","146","0.439834611060652"
"22-Mar","112","1","112","0.2495746098822509"
"23-Mar","102","1","102","0.20774325560807472"
"24-Mar","140","1","140","0.41223727802427107"
"25-Mar","175","1","175","0.1267290838903245"
"26-Mar","181","1","181","0.14900239054664705"
"27-Mar","57","1","57","0.02174204668724211"
"28-Mar","109","1","109","0.3192318481633921"
"29-Mar","102","1","102","0.2869164333878541"
"30-Mar","102","1","102","0.33541341225161636"
"31-Mar","171","1","171","0.17173393821541727"
