Month,TotalSales,PredictedLabel,Score,PValue
"01-Jan","163","0","163","0.5"
"02-Jan","182","0","182","1E-08"
"03-Jan","185","0","185","0.19318304053805901"
"04-Jan","149","0","149","0.025263759425361743"
"05-Jan","156","0","156","0.2654719106908624"
"06-Jan","150","0","150","0.2127510237001431"
"07-Jan","130","0","130","0.03739004476133667"
"08-Jan","180","0","180","0.21542518846246328"
"09-Jan","334","0","334","1E-08"
"10-Jan","111","0","111","0.17478043350575434"
"11-Jan","105","0","105","0.18501770182168586"
"12-Jan","200","0","200","0.2949152882701567"
"13-Jan","163","0","163","0.4985215143489433"
"14-Jan","162","0","162","0.4935995660327753"
"15-Jan","181","0","181","0.3899853889771636"
"16-Jan","114","0","114","0.20528173945332273"
"17-Jan","151","0","151","0.4372271586211036"
"18-Jan","163","0","163","0.4810712286678817"
"19-Jan","129","0","129","0.2956229121238455"
"20-Jan","136","0","136","0.34903746888237897"
"21-Jan","194","0","194","0.2639224925304109"
"22-Jan","107","0","107","0.1766965712276367"
"23-Jan","123","0","123","0.27937890480847627"
"24-Jan","151","0","151","0.4732940143171305"
"25-Jan","172","0","172","0.37959756295828423"
"26-Jan","115","0","115","0.22948402759607167"
"27-Jan","117","0","117","0.25140911593446624"
"28-Jan","107","0","107","0.20366827347069527"
"29-Jan","186","0","186","0.2666972426712756"
"30-Jan","156","0","156","0.4704878814488809"
"31-Jan","127","0","127","0.32280799771551405"
"01-Feb","142","0","142","0.4381825919821525"
"02-Feb","111","0","111","0.23853997475740796"
"03-Feb","175","0","175","0.30214548453682877"
"04-Feb","194","0","194","0.20569473706941277"
"05-Feb","184","0","184","0.27028736614202975"
"06-Feb","197","0","197","0.21300776955324408"
"07-Feb","139","0","139","0.40871966182497166"
"08-Feb","137","0","137","0.40566873268358217"
"09-Feb","179","0","179","0.2494141011244801"
"10-Feb","118","0","118","0.23565236610431095"
"11-Feb","189","0","189","0.19380260901245355"
"12-Feb","124","0","124","0.2725546375296978"
"13-Feb","542","1","542","1E-08"
"14-Feb","180","0","180","0.3738904657256879"
"15-Feb","119","0","119","0.34701153187544853"
"16-Feb","179","0","179","0.3785416568327451"
"17-Feb","158","0","158","0.47884752587581864"
"18-Feb","188","0","188","0.34382806852333103"
"19-Feb","13","1","13","0.04393180428943233"
"20-Feb","195","0","195","0.3250836247320473"
"21-Feb","134","0","134","0.419157911911188"
"22-Feb","193","0","193","0.33515396535222663"
"23-Feb","189","0","189","0.36121063026919853"
"24-Feb","181","0","181","0.40034708076671593"
"25-Feb","112","0","112","0.3082668700575"
"26-Feb","146","0","146","0.44825459469339235"
"27-Feb","131","0","131","0.3795043474329237"
"28-Feb","182","0","182","0.4033279233098158"
"01-Mar","186","0","186","0.385722991069555"
"02-Mar","172","0","172","0.4507709042016599"
"03-Mar","117","0","117","0.30704799165456975"
"04-Mar","171","0","171","0.4586855518436909"
"05-Mar","134","0","134","0.3699458574260056"
"06-Mar","125","0","125","0.33960366742646264"
"07-Mar","134","0","134","0.3878745983650398"
"08-Mar","140","0","140","0.421733766582965"
"09-Mar","253","0","253","0.14875617446181227"
"10-Mar","131","0","131","0.37976105393991155"
"11-Mar","115","0","115","0.3170797123631993"
"12-Mar","103","0","103","0.28237934972486856"
"13-Mar","198","0","198","0.3311935133106396"
"14-Mar","131","0","131","0.39305333687403643"
"15-Mar","161","0","161","0.4826336206489876"
"16-Mar","102","0","102","0.18417069432797928"
"17-Mar","172","0","172","0.3574053679038069"
"18-Mar","101","0","101","0.1867078536131972"
"19-Mar","117","0","117","0.2881806747694491"
"20-Mar","169","0","169","0.3641740006356861"
"21-Mar","146","0","146","0.48951935915696476"
"22-Mar","112","0","112","0.22261454873436493"
"23-Mar","102","0","102","0.17555999499907693"
"24-Mar","140","0","140","0.45972473327691055"
"25-Mar","175","0","175","0.26581557155963975"
"26-Mar","181","0","181","0.2227484075234346"
"27-Mar","57","1","57","0.025397638398424016"
"28-Mar","109","0","109","0.25913514369735924"
"29-Mar","102","0","102","0.22815814487832076"
"30-Mar","102","0","102","0.23923450834181959"
"31-Mar","171","0","171","0.2650135797274169"
