Month,TotalSales,PredictedLabel,Score,PValue
"01-Jan","163","0","163","0.5"
"02-Jan","182","0","182","1E-08"
"03-Jan","185","0","185","0.19318304053805901"
"04-Jan","149","0","149","0.025263759425361743"
"05-Jan","156","0","156","0.2654719106908624"
"06-Jan","150","0","150","0.2127510237001431"
"07-Jan","130","1","130","0.03739004476133667"
"08-Jan","180","0","180","0.21542518846246328"
"09-Jan","334","1","334","1E-08"
"10-Jan","111","0","111","0.20495092462897357"
"11-Jan","105","0","105","0.24392583386110522"
"12-Jan","200","0","200","0.3212169223059125"
"13-Jan","163","0","163","0.4977188054949745"
"14-Jan","162","0","162","0.4882944932079807"
"15-Jan","181","0","181","0.4545399059697179"
"16-Jan","114","0","114","0.2637563893353795"
"17-Jan","151","0","151","0.4781723291520874"
"18-Jan","163","0","163","0.4325572597055495"
"19-Jan","129","0","129","0.17003152786451114"
"20-Jan","136","0","136","0.29286869130407744"
"21-Jan","194","0","194","0.06240087977003589"
"22-Jan","107","0","107","0.11544463045633135"
"23-Jan","123","0","123","0.3310807286059815"
"24-Jan","151","0","151","0.4013574568895095"
"25-Jan","172","0","172","0.22328857631189264"
"26-Jan","115","0","115","0.23624568652247424"
"27-Jan","117","0","117","0.28522068255840616"
"28-Jan","107","0","107","0.23795823864676402"
"29-Jan","186","1","186","0.04840028176407224"
"30-Jan","156","0","156","0.332509429495539"
"31-Jan","127","0","127","0.3556302204995925"
"01-Feb","142","0","142","0.46497722636001"
"02-Feb","111","0","111","0.2618261833245329"
"03-Feb","175","0","175","0.15168291375778853"
"04-Feb","194","0","194","0.11070172135041195"
"05-Feb","184","0","184","0.2580417313771505"
"06-Feb","197","0","197","0.15856424407659048"
"07-Feb","139","0","139","0.31496457590879634"
"08-Feb","137","0","137","0.2759606536073749"
"09-Feb","179","0","179","0.3739094766090601"
"10-Feb","118","0","118","0.056037686180237634"
"11-Feb","189","0","189","0.29514415836085417"
"12-Feb","124","0","124","0.1819865546373317"
"13-Feb","542","1","542","1E-08"
"14-Feb","180","0","180","0.49375956223390083"
"15-Feb","119","0","119","0.34365595349501343"
"16-Feb","179","0","179","0.4944891080243119"
"17-Feb","158","0","158","0.4445208670571361"
"18-Feb","188","0","188","0.49834778213676784"
"19-Feb","13","0","13","0.1279752366823419"
"20-Feb","195","0","195","0.4594632595089217"
"21-Feb","134","0","134","0.3863060547367275"
"22-Feb","193","0","193","0.2739166209158004"
"23-Feb","189","0","189","0.3539853486781195"
"24-Feb","181","0","181","0.4060953033359046"
"25-Feb","112","0","112","0.26218208695843626"
"26-Feb","146","0","146","0.46225753185933527"
"27-Feb","131","0","131","0.23268544135339553"
"28-Feb","182","0","182","0.2776741021013816"
"01-Mar","186","0","186","0.30573966306208933"
"02-Mar","172","0","172","0.4209900517917965"
"03-Mar","117","0","117","0.15115770562344666"
"04-Mar","171","0","171","0.31205128236839047"
"05-Mar","134","0","134","0.25562515105256545"
"06-Mar","125","0","125","0.21272766250414077"
"07-Mar","134","0","134","0.2989862266529628"
"08-Mar","140","0","140","0.42529475469218425"
"09-Mar","253","1","253","6.347249990545922E-06"
"10-Mar","131","0","131","0.38942195118931855"
"11-Mar","115","0","115","0.25425619386108145"
"12-Mar","103","0","103","0.23396360137236405"
"13-Mar","198","0","198","0.18002090811044508"
"14-Mar","131","0","131","0.4056019219281868"
"15-Mar","161","0","161","0.41676552029862113"
"16-Mar","102","0","102","0.2264167982734251"
"17-Mar","172","0","172","0.20365612769195024"
"18-Mar","101","0","101","0.2234227284938376"
"19-Mar","117","0","117","0.36014460673688886"
"20-Mar","169","0","169","0.28519982459592463"
"21-Mar","146","0","146","0.41191540116109493"
"22-Mar","112","0","112","0.2745392908124944"
"23-Mar","102","0","102","0.25026569784288055"
"24-Mar","140","0","140","0.4066525752324235"
"25-Mar","175","0","175","0.08465001450294551"
"26-Mar","181","0","181","0.12792591403736076"
"27-Mar","57","1","57","0.012540450776469036"
"28-Mar","109","0","109","0.34711875744295884"
"29-Mar","102","0","102","0.3478806081900596"
"30-Mar","102","0","102","0.3625449706755963"
"31-Mar","171","0","171","0.21727112586566483"
